Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
X68ba1105.569a.4209.9b45.0e2d64931806..Panc.AdenoCA..DO33152	5.95E+00	6.99E+00	4.29E+00	2.27E+00	2.38E+00	2.58E+00
X6ad44218.d34e.4126.bf56.1be2140cd3fb..Panc.AdenoCA..DO51484	2.88E+00	4.35E+00	8.07E+00	1.93E+00	4.94E+00	5.15E+00
X6b20f942.7b89.497c.8a2e.ccce74d20ca9..Panc.AdenoCA..DO49421	3.39E+00	5.21E+00	5.92E+00	2.25E+00	2.65E+00	2.40E+00
X6bdf00f6.670f.466e.87fb.e853e41f000e..Panc.AdenoCA..DO34504	1.88E+00	3.04E+00	5.82E+00	4.45E+00	1.45E+00	0.00E+00
X6fc0cb07.9713.4355.8543.f85d1c5505c2..Panc.AdenoCA..DO51529	9.99E+00	8.23E+00	7.49E+00	3.70E+00	4.24E+00	1.05E+01
X70dd8453.11d3.4105.a8d0.6a755c52495d..Panc.AdenoCA..DO51540	4.84E+00	6.90E+00	5.09E+00	2.51E+00	4.11E+00	1.57E+00
X71ef8379.03a0.4b81.92c9.1ba666fe4d7a..Panc.AdenoCA..DO49127	3.44E+00	5.71E+00	4.90E+00	1.81E+00	3.46E+00	1.19E+00
X7266ec7b.4824.4b88.910e.e9bfb848d55f..Panc.AdenoCA..DO35290	4.21E+00	6.18E+00	6.63E+00	2.40E+00	2.24E+00	1.11E+00
X72a5e569.99d4.47bc.be1b.6296a5025080..Panc.AdenoCA..DO33264	4.25E+00	7.44E+00	7.07E+00	3.52E+00	3.15E+00	1.49E+00
X72f82fbd.9838.4082.b605.bc3d80226f16..Panc.AdenoCA..DO35116	4.56E+00	8.61E+00	1.07E+01	4.00E+00	5.74E+00	8.29E+00
X73058c80.607e.4b55.b112.8f8f6775d014..Panc.AdenoCA..DO51479	2.26E+00	4.93E+00	5.05E+00	1.90E+00	1.55E+00	1.90E+00
X7410c00d.ed0b.48dc.a4bf.eb76ac613980..Panc.AdenoCA..DO33400	5.33E+00	6.20E+00	4.73E+00	2.35E+00	4.21E+00	1.47E+00
X748d3ff3.8699.4519.8e0f.26b6a0581bff..Panc.AdenoCA..DO32833	2.97E+00	4.25E+00	3.14E+00	1.98E+00	2.43E+00	0.00E+00
