MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S
4:Del:R:1	6.43E-08	3.08E-08	0.00E+00	5.73E-04	5.61E-04	1.36E-03	1.21E-03	3.78E-03	1.09E-08	1.98E-03	4.77E-03	2.26E-03	1.09E-06	1.92E-03	1.13E-02	3.16E-03	3.88E-03	1.08E-06	0.00E+00
4:Del:R:2	3.24E-05	6.48E-08	2.69E-08	3.10E-05	1.49E-04	1.77E-04	2.03E-04	1.64E-04	2.45E-08	9.37E-08	1.22E-04	9.84E-05	8.21E-08	2.23E-07	1.10E-03	9.44E-08	3.47E-05	1.57E-04	0.00E+00
4:Del:R:3	1.64E-05	2.22E-08	3.56E-08	3.80E-08	1.10E-07	2.91E-09	6.67E-07	5.09E-08	2.61E-08	2.34E-04	7.26E-08	1.25E-04	1.28E-07	2.19E-04	2.74E-07	1.24E-06	5.48E-04	3.15E-04	6.01E-05
4:Del:R:4	3.35E-08	4.15E-08	1.12E-07	5.53E-08	3.65E-08	1.51E-04	1.08E-07	4.55E-08	8.22E-05	3.02E-08	1.14E-07	3.04E-07	2.38E-04	6.15E-07	1.62E-04	5.98E-07	1.91E-07	2.13E-07	1.75E-07
4:Del:R:5	3.34E-08	4.25E-08	6.04E-08	3.37E-08	5.06E-08	3.92E-08	1.02E-07	6.73E-08	4.99E-08	4.71E-08	8.31E-08	2.01E-07	1.12E-07	1.62E-07	2.06E-07	3.57E-07	2.29E-07	2.13E-07	2.45E-07
5:Del:R:0	5.59E-07	8.47E-03	0.00E+00	1.42E-03	5.96E-07	2.69E-02	3.83E-02	8.87E-03	2.28E-02	8.64E-03	0.00E+00	5.67E-06	3.01E-02	3.35E-07	2.67E-03	9.49E-03	0.00E+00	3.18E-02	3.53E-06
5:Del:R:1	2.47E-04	2.97E-04	3.26E-04	8.62E-04	3.38E-04	2.07E-04	1.02E-03	1.33E-03	2.93E-04	6.41E-04	1.48E-03	4.66E-05	0.00E+00	0.00E+00	0.00E+00	1.58E-03	3.76E-04	2.76E-03	3.21E-03
5:Del:R:2	6.85E-05	2.50E-04	2.42E-08	2.44E-04	2.71E-07	2.25E-04	8.27E-08	1.05E-03	2.01E-04	1.00E-03	5.34E-07	9.53E-07	4.63E-03	1.60E-07	1.46E-03	1.29E-03	1.10E-03	2.87E-04	1.83E-03
5:Del:R:3	4.89E-07	2.83E-08	2.97E-03	3.92E-04	5.97E-08	4.45E-04	1.06E-03	1.24E-03	3.88E-07	1.07E-07	0.00E+00	0.00E+00	6.10E-07	1.35E-07	1.19E-02	6.82E-08	7.31E-04	3.93E-07	4.85E-05
5:Del:R:4	3.34E-08	4.25E-08	6.04E-08	3.37E-08	5.06E-08	3.92E-08	1.02E-07	6.73E-08	4.99E-08	4.71E-08	8.31E-08	2.01E-07	1.12E-07	1.62E-07	2.06E-07	3.57E-07	2.29E-07	2.13E-07	2.45E-07
5:Del:R:5	8.03E-08	7.73E-05	3.59E-07	5.90E-08	4.54E-05	1.02E-07	1.01E-04	7.50E-08	1.35E-07	2.19E-08	1.64E-06	2.00E-07	3.88E-04	1.03E-04	4.42E-04	6.77E-04	9.50E-04	6.68E-07	5.50E-04
2:Ins:R:0	5.41E-04	9.93E-08	3.18E-04	4.03E-08	2.58E-04	3.24E-03	4.50E-04	1.35E-08	2.30E-04	2.55E-03	2.14E-07	1.84E-03	6.37E-03	1.56E-02	5.49E-03	3.17E-03	6.39E-03	6.29E-05	0.00E+00
2:Ins:R:1	3.63E-08	6.95E-05	5.21E-09	2.40E-04	6.67E-04	5.06E-04	1.37E-03	6.99E-04	1.12E-03	4.30E-04	3.22E-03	3.50E-05	2.91E-03	2.57E-06	1.26E-03	7.70E-04	6.15E-08	1.90E-04	4.53E-04
2:Ins:R:2	4.60E-08	1.81E-04	1.63E-07	1.53E-04	5.37E-05	4.84E-04	3.29E-04	4.15E-07	6.20E-04	2.04E-03	3.64E-04	3.63E-07	1.17E-06	5.99E-04	6.25E-04	4.52E-04	8.08E-04	2.87E-04	1.11E-03
2:Ins:R:3	8.38E-08	9.97E-05	8.56E-05	1.86E-04	8.72E-05	1.31E-07	9.07E-05	7.23E-05	0.00E+00	3.97E-04	9.12E-04	2.01E-04	6.98E-04	2.98E-04	4.39E-03	4.01E-04	4.81E-03	2.33E-07	6.16E-04
