Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
V11	3.90E+00	0.00E+00	6.59E+00	2.63E+00	1.02E+00	2.78E+00	2.79E+00	1.31E+00	6.32E-01	0.00E+00	2.67E+00	1.67E+00	2.08E+00	1.41E+00	3.39E+00	4.01E+00	0.00E+00	1.43E+00	6.90E-01	7.29E+00
V12	3.03E+00	1.31E+00	6.39E+00	6.92E+00	3.94E-01	9.09E-01	6.16E-01	4.23E-01	2.94E+00	0.00E+00	9.31E-01	1.56E+00	4.37E+00	6.43E+00	4.53E+00	7.78E-01	1.39E+00	1.22E+00	8.57E-01	8.42E+00
V13	2.86E+00	2.84E+00	5.73E+00	1.63E+00	2.13E+00	8.33E-01	2.58E+00	1.90E+00	7.52E-01	1.04E+00	3.08E+00	3.42E-01	1.31E+00	2.09E+00	1.33E+00	3.07E+00	8.72E-01	2.14E+00	2.61E+00	6.97E+00
V14	1.78E+00	1.65E+00	2.18E+00	3.00E-01	9.80E-01	0.00E+00	2.67E-01	1.53E+00	0.00E+00	3.40E-01	0.00E+00	2.00E-01	2.00E-01	2.13E-01	4.90E-01	9.00E-01	2.57E+00	1.25E+00	4.00E-01	2.08E+00
V15	0.00E+00	6.19E-01	2.69E-01	2.08E+00	2.04E+00	8.70E-01	2.27E+00	3.61E+00	1.62E+00	2.12E+00	7.12E-01	1.98E+00	2.16E+00	3.03E+00	2.90E+00	3.51E+00	1.19E+00	1.71E+00	4.73E-01	2.67E-01
V16	2.57E+00	7.49E-01	2.89E+01	1.18E+00	9.45E+00	3.52E+00	4.61E+00	8.70E+00	9.75E-01	1.13E+00	5.41E+00	2.14E+00	1.80E+00	1.24E+00	4.68E+00	7.21E+00	1.34E+00	4.53E+00	1.79E+00	3.60E+01
V17	1.94E+00	4.74E+00	4.63E+00	1.01E+00	1.07E+00	2.36E+00	3.22E+00	9.36E-01	0.00E+00	1.10E+00	1.63E+00	3.23E+00	8.06E-01	2.61E+00	6.96E-01	2.84E+00	5.07E+00	3.89E-01	6.50E-01	3.69E+00
V18	1.34E+00	1.14E+01	6.48E+00	2.10E+00	5.39E+00	0.00E+00	1.70E+00	6.15E+00	1.10E+00	9.83E-01	1.19E+00	1.69E+00	1.69E+00	1.24E+00	1.52E+00	1.79E+00	1.18E+01	9.20E-01	6.93E+00	6.92E+00
V19	4.73E-01	2.11E+00	4.76E-01	4.93E+00	3.75E+00	1.52E+00	2.05E+00	4.66E+00	2.86E+00	1.08E+00	1.12E+00	3.65E+00	2.41E+00	2.69E+00	1.79E+00	2.04E+00	3.16E+00	1.19E+00	3.14E-01	9.09E-01
V20	1.57E+00	2.07E+00	1.53E+00	7.73E+00	4.63E+00	7.49E-01	7.22E-01	3.76E+00	2.96E+00	4.10E+00	2.24E-01	9.10E+00	3.25E+00	2.17E+00	3.23E+00	2.01E+00	2.35E+00	3.40E+00	5.86E-01	9.09E-01
V21	2.11E+00	2.16E+00	6.40E-01	1.23E+00	1.22E+00	3.40E-01	4.77E-01	1.34E+00	0.00E+00	0.00E+00	0.00E+00	3.89E-01	9.55E-01	5.47E-01	6.80E-01	3.00E-01	2.51E+00	0.00E+00	4.27E-01	7.00E-01
V22	2.88E+00	1.62E+00	4.99E-01	5.12E-01	3.14E+00	3.03E+00	4.18E+00	3.82E+00	0.00E+00	1.99E+00	3.25E+00	2.34E+00	5.93E-01	2.00E-01	3.96E-01	4.87E+00	8.72E-01	8.16E+00	1.09E+00	7.95E-01
V23	9.04E-01	3.37E+00	2.64E+00	8.04E+00	7.27E+00	3.16E+00	4.33E+00	4.56E+00	5.57E+00	5.49E+00	2.18E+00	5.54E+00	8.49E+00	1.06E+01	8.23E+00	2.82E+00	3.33E+00	1.71E+00	5.85E+00	3.54E+00
V24	1.56E+00	6.05E-01	4.28E-01	2.69E-01	2.21E-01	2.26E+00	1.44E+00	1.19E+00	0.00E+00	7.02E-01	2.04E+00	0.00E+00	0.00E+00	5.78E-01	0.00E+00	1.61E+00	9.07E-01	1.69E+00	1.00E-01	2.00E-01
V25	1.17E+00	2.07E+00	3.27E-01	1.79E+00	4.23E-01	0.00E+00	0.00E+00	8.44E-01	2.34E+00	6.15E-01	0.00E+00	1.48E+00	1.67E+00	1.51E+00	2.94E+00	0.00E+00	2.54E+00	2.24E-01	7.48E-01	1.21E+00
