Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
X8d67c121.37d0.4fc0.a349.2c9452589d65..Panc.AdenoCA..DO34793	163	217	128	24	30	0
X9011cf17.0783.4f9d.b355.4f0fc1a2e78b..Panc.AdenoCA..DO51501	72	191	148	19	19	1
X9078333d.73d3.496a.9fc3.a94353b7e107..Panc.AdenoCA..DO51499	76	167	97	16	34	45
X90b3c237.29a4.48b3.90b3.9f2c0ccb5928..Panc.AdenoCA..DO49193	115	158	185	22	14	4
X91b6fd6b.547a.47e4.8ecb.a6f1826ccfd3..Panc.AdenoCA..DO35216	17	14	72	9	21	0
X92dc0e0c.842f.40de.9c39.486b491ea80a..Panc.AdenoCA..DO33600	143	296	167	28	37	0
X94652d14.2e4d.4f4a.a4f7.8df77df788c0..Panc.AdenoCA..DO51498	105	255	137	18	10	0
X95cc9620.7686.4805.a96c.cf8e659847c3..Panc.AdenoCA..DO51515	43	238	180	43	40	43
X96ba50eb.3c12.41ad.ac7b.d23b2001fe44..Panc.AdenoCA..DO51469	293	132	311	79	12	1
X96cca60e.17dc.44c3.90f7.1b57b0e08e5f..Panc.AdenoCA..DO35228	80	127	149	26	14	0
X97c46ede.b280.4344.8dbb.e860c6472239..Panc.AdenoCA..DO51504	25	140	133	23	13	23
X9c399826.087f.44b9.98c0.bd881646b0f4..Panc.AdenoCA..DO33472	98	187	135	16	30	0
X9c857452.c81d.4b9e.87a8.5b41f4394f7c..Panc.AdenoCA..DO34608	34	62	144	18	7	0
X9df57388.7de1.4c90.910e.ef63a246dff1..Panc.AdenoCA..DO49172	141	216	144	24	24	0
X9ebac79d.8b38.4469.837e.b834725fe6d5..Panc.AdenoCA..DO34640	149	201	191	47	64	9
X9ffe694e.b488.489e.bdbe.0800e505eec4..Panc.AdenoCA..DO49460	255	392	148	27	63	3
a2238b5f.0513.487a.9b1b.7bef85ebf336..Panc.AdenoCA..DO32878	146	140	130	26	27	0
a3210fd0.344c.468e.8ff2.2d0869a2fb75..Panc.AdenoCA..DO51497	83	193	144	22	57	57
a3edc9cc.f54a.4459.a5d0.097879c811e5..Panc.AdenoCA..DO49135	130	228	171	32	30	10
a492a32b.bf2f.4f8c.b06e.794a4baa2fe7..Panc.AdenoCA..DO49074	71	132	137	29	19	0
a5346247.3f30.470a.b4ab.732180786291..Panc.AdenoCA..DO33960	175	276	105	14	44	0
a5d5c238.0447.47fa.9a81.3b823cbdcea6..Panc.AdenoCA..DO34849	109	370	165	14	71	4
a6ebe0c0.8aab.4b9f.8328.4b795895a77d..Panc.AdenoCA..DO51465	103	302	159	36	29	124
a7a56d67.1bd7.4d69.9237.34c2d261261b..Panc.AdenoCA..DO51486	5	34	50	377	4	77
aa4a868a.df23.4eef.a618.e945aa2ce98a..Panc.AdenoCA..DO34448	678	411	387	53	256	2
ac02c38e.5fca.4995.b0cc.39b6189976a3..Panc.AdenoCA..DO51478	337	515	231	25	112	125
af9cfac8.7fbe.49cb.aeca.8d68aea57994..Panc.AdenoCA..DO51494	175	124	305	30	33	46
b04624d2.d8f8.4b51.be1b.72c73d8055f9..Panc.AdenoCA..DO35085	24	37	93	19	14	0
b37d6283.6f95.4975.a794.f3d5c4bbc7b3..Panc.AdenoCA..DO32960	17	132	109	7	29	14
b47aa163.eec9.4225.940b.4373e78152e2..Panc.AdenoCA..DO33200	78	243	168	31	17	0
b54b9433.ec10.4cb5.a860.4555da64917b..Panc.AdenoCA..DO51473	74	148	195	23	2	14
b5cabba2.30a4.458e.897c.00ec3fefa6d2..Panc.AdenoCA..DO49445	148	292	159	16	48	5
b5dd0bc9.6c1c.4272.b920.744de37d0aee..Panc.AdenoCA..DO33480	1	40	185	84	20	0
b7008a98.5aa0.4cc9.9bee.af2a422266db..Panc.AdenoCA..DO33288	379	287	295	47	61	0
