Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
V16	1.14E+01	4.50E+00	3.48E+00	2.14E+00	1.93E+00	6.24E+00	3.83E+00	1.78E+00	3.38E+00	1.70E+00	1.46E+00	7.19E+00	1.43E+00	5.69E+00	1.16E+01
V17	3.87E+00	7.72E-01	1.82E+00	4.62E+00	2.78E+00	0.00E+00	0.00E+00	2.97E+00	4.59E+00	1.61E+01	2.45E+00	2.83E+00	1.37E+01	4.75E+00	6.20E+00
V18	2.27E+00	5.31E+00	6.44E+00	1.14E+01	7.75E-01	0.00E+00	0.00E+00	3.00E-01	1.19E+01	4.00E-01	7.89E-01	1.13E+01	0.00E+00	8.27E+00	2.83E+00
V19	1.80E+00	1.32E+00	6.10E+00	6.04E+00	6.67E-01	1.27E+00	2.59E+00	7.92E-01	6.11E+00	2.44E+00	1.49E+00	8.04E+00	2.21E+00	9.75E+00	2.01E+00
V20	4.52E+00	6.28E+00	1.23E+00	9.80E-01	0.00E+00	7.70E+00	8.08E+00	0.00E+00	1.19E+00	1.19E+00	4.00E-01	1.03E+01	1.40E+00	1.04E+01	4.42E+00
V21	6.01E-01	0.00E+00	3.16E+00	1.53E+00	5.73E+00	1.60E+00	2.52E+00	5.69E+00	5.66E+00	1.09E+01	3.11E+00	3.14E+00	8.55E+00	1.50E+00	7.29E+00
V22	1.56E+01	1.41E+00	1.35E+00	1.41E+00	3.59E+00	2.33E+00	1.45E+00	7.16E-01	3.00E+00	4.67E-01	3.42E+00	2.18E+00	7.92E-01	1.78E+00	1.56E+01
V23	7.86E-01	8.03E-01	3.80E+00	5.62E+00	6.71E-01	2.12E+00	9.89E-01	6.71E-01	1.81E+00	4.99E-01	1.09E+00	4.20E+00	1.25E+00	1.80E+00	1.03E+00
V24	1.55E+00	5.81E-01	0.00E+00	7.95E-01	1.09E+00	0.00E+00	0.00E+00	2.10E+00	9.78E-01	3.56E+00	6.63E-01	0.00E+00	1.96E+00	1.00E-01	9.94E-01
V25	2.26E+00	4.79E+00	1.97E+00	7.00E-01	8.59E-01	1.24E+00	1.75E+00	7.86E-01	6.51E-01	1.72E+00	6.00E-01	1.55E+00	1.37E+00	4.97E+00	5.43E+00
V26	1.71E+01	0.00E+00	1.16E+00	1.95E+00	5.12E+00	0.00E+00	0.00E+00	1.38E+00	5.72E+00	0.00E+00	5.70E+00	2.51E+00	3.73E-01	2.67E+00	2.03E+01
V27	1.33E-01	1.49E+00	0.00E+00	5.37E-01	6.67E-01	6.67E+00	5.99E+00	1.55E+00	8.06E-01	3.27E+00	0.00E+00	8.73E+00	1.87E+00	1.11E+00	1.49E+00
V28	1.69E+00	5.17E-01	5.43E+00	3.79E+00	6.05E+00	4.40E+00	3.31E+00	1.96E+00	1.05E+01	2.46E+00	7.52E+00	4.88E+00	1.76E+00	4.98E+00	1.50E+00
V29	1.44E+00	2.24E-01	5.89E+00	5.44E+00	0.00E+00	2.45E+00	9.66E-01	2.75E+00	8.35E+00	7.82E+00	4.07E-01	4.93E+00	6.48E+00	3.78E+00	1.46E+00
V30	5.47E-01	1.19E+00	7.37E-01	6.53E-01	0.00E+00	2.33E-01	0.00E+00	1.61E+00	6.00E-01	1.51E+00	1.63E-01	0.00E+00	2.21E+00	1.86E+00	5.73E-01
V31	2.82E+00	1.59E+01	8.54E-01	2.24E+00	1.89E+00	4.44E+01	1.99E+01	1.67E+00	1.69E+00	2.23E+00	1.72E+00	4.50E+01	1.81E+00	1.45E+01	3.20E+00
V32	8.17E-01	9.17E-01	7.14E+00	1.02E+01	8.36E-01	1.87E+00	2.31E+00	1.99E+00	6.12E+00	2.24E+00	1.33E-01	3.99E+00	3.48E+00	3.20E+00	6.83E-01
V33	4.41E+00	0.00E+00	3.07E-01	1.42E+00	1.26E+00	7.52E-01	7.16E-01	3.27E+00	1.36E+00	6.57E+00	1.59E+00	4.91E+00	5.40E+00	1.06E+00	5.61E+00
V34	8.24E+00	9.55E-01	8.97E-01	1.16E+00	1.96E+00	8.44E-01	0.00E+00	0.00E+00	1.68E+00	4.96E-01	1.81E+00	1.03E+00	6.37E-01	1.13E+00	8.44E+00
V35	2.45E+00	5.76E+00	2.71E+00	1.16E+00	1.36E+00	1.75E+00	2.61E+00	6.18E+00	2.14E+00	3.75E+00	1.34E+00	2.22E+00	3.40E+00	9.22E+00	2.86E+00
V36	1.42E+00	1.46E+01	3.94E-01	8.33E-01	8.59E-01	8.80E+00	7.48E+00	7.92E-01	0.00E+00	5.54E-01	6.90E-01	8.69E+00	1.70E+00	1.77E+01	6.87E-01
V37	6.29E-01	1.82E+00	0.00E+00	8.82E-01	5.21E-01	1.23E+01	1.11E+01	4.21E+00	5.26E-01	6.16E+00	4.48E-01	1.65E+01	1.17E+00	6.74E-01	4.93E+00
V38	2.41E+00	3.61E+00	2.46E+00	3.25E+00	1.43E+00	1.25E+00	6.05E-01	1.74E+00	3.39E+00	8.00E-01	4.22E-01	4.65E+00	2.49E+00	4.37E+00	2.28E+00
V39	1.92E+00	2.15E+00	3.90E+00	3.04E+00	2.04E+00	3.27E-01	3.06E-01	5.04E+00	4.94E+00	1.27E+01	0.00E+00	4.69E+00	1.00E+01	5.47E+00	3.05E+00
V40	8.36E-01	2.46E+00	1.69E+00	1.63E+00	8.54E-01	8.17E-01	0.00E+00	9.60E-01	1.08E+00	2.84E+00	0.00E+00	1.23E+00	1.80E+00	3.04E+00	2.00E-01
V41	4.33E+00	6.60E+00	3.00E-01	2.16E+00	0.00E+00	9.52E-01	1.62E+00	4.71E+00	3.07E-01	8.01E+00	4.00E-01	2.94E+00	5.33E+00	7.44E+00	4.10E+00
V42	2.94E+00	3.22E+00	1.52E+00	1.27E+00	1.71E+00	7.72E+00	4.94E+00	5.81E+00	3.06E+00	3.31E+00	4.12E+00	5.76E+00	3.43E+00	5.48E+00	3.87E+00
V43	3.19E+00	4.07E-01	1.89E+00	3.84E+00	7.72E+00	4.58E-01	5.97E-01	3.39E+00	8.55E+00	4.83E+00	2.72E+00	2.17E+00	4.78E+00	3.49E+00	2.78E+00
