Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
e0aa815f.668a.4de9.bb32.3f215bb7f843..Panc.AdenoCA..DO34785	161	427	97	93	13	44	20
e1df938f.1f23.4291.98ef.13db6debb796..Panc.AdenoCA..DO51505	29	129	134	34	12	17	48
e4c8c7f0.5bac.4d59.91c4.c98207150548..Panc.AdenoCA..DO221547	7	160	192	80	948	8	39
e5193d7e.e8b7.4098.bf98.8b3a62781d13..Panc.AdenoCA..DO49451	115	302	97	131	20	32	13
e56b0990.ff67.47c1.b9ad.87ef1d4aa2ae..Panc.AdenoCA..DO33368	108	201	171	138	56	32	0
e6eda5db.4d4f.418e.b0d4.ed9b3e5259d3..Panc.AdenoCA..DO51525	29	42	106	0	86	7	41
e7048a93.a1ed.4cdc.a1ab.fa507408ca77..Panc.AdenoCA..DO51480	165	149	0	85	10	34	43
e7603fc8.9b73.4c17.86f9.46ca1bceeb1d..Panc.AdenoCA..DO51519	53	176	54	73	14	40	26
e97ea3d7.9fcd.4df1.9ea8.587cb3be75ec..Panc.AdenoCA..DO49183	152	109	101	81	2	48	0
ec646623.6d33.4fbd.888e.89f55d82eb11..Panc.AdenoCA..DO33184	211	166	179	60	34	14	5
ec77847e.48fd.4ba5.bc3e.3cd1b149b552..Panc.AdenoCA..DO51475	289	214	39	92	7	25	80
ecfe388a.99f5.44b9.9226.a6ae6d892538..Panc.AdenoCA..DO221539	73	163	133	51	5	21	56
edac1323.2497.45e6.9148.e9c955292ba2..Panc.AdenoCA..DO33248	97	204	0	147	1	18	0
ee5d5e7d.78cf.4a29.a9ee.56aa3da877dd..Panc.AdenoCA..DO32875	41	152	0	138	35	1	8
ee8ba991.8c96.476e.b096.49f3aaaffc2f..Panc.AdenoCA..DO32863	142	96	109	75	27	50	3
ef002c3d.358f.4fc0.98f3.2f8b89de4374..Panc.AdenoCA..DO51512	41	81	36	127	19	17	44
ef3a0ccd.85bc.4e5f.a8c6.5a2e2d9e6717..Panc.AdenoCA..DO49080	187	376	0	280	119	77	0
efacd7d6.56cf.4f6a.87f0.1a7ab6b1a643..Panc.AdenoCA..DO51483	231	226	50	120	24	40	12
efc39172.083c.4297.b922.3f58df781332..Panc.AdenoCA..DO35198	123	143	124	105	35	27	20
f1d9124e.dfa2.415e.b8b8.dd872fd3e2cb..Panc.AdenoCA..DO33408	47	100	55	103	1	23	0
f283ed80.8302.4f26.99ed.ea20d101289d..Panc.AdenoCA..DO49420	21	69	107	56	4	13	0
f4ada7a2.c4ac.4f89.ada7.4645861002cb..Panc.AdenoCA..DO51530	163	121	88	138	708	7	30
f4e673a9.5b85.46e7.bcac.2ce6e1026896..Panc.AdenoCA..DO51502	108	228	61	81	13	69	39
f4e926fd.006e.4c85.b71c.1433c325acb0..Panc.AdenoCA..DO49204	41	132	108	35	21	13	4
f5bb7ae4.4bb4.4e87.b83c.bc8620584989..Panc.AdenoCA..DO34312	35	154	163	71	8	20	2
f7702c0c.9636.4700.a8ae.7a58afd9fa71..Panc.AdenoCA..DO33544	47	263	177	63	15	27	0
f94c4f69.8119.4eaf.97c1.5106890c14d4..Panc.AdenoCA..DO35186	153	113	139	15	15	31	0
fa54205f.7e51.4e5a.9f0a.5e8a2e40235f..Panc.AdenoCA..DO49178	24	100	8	85	28	13	2
fa9a3247.a465.4fdf.bb64.5afaa83a5d76..Panc.AdenoCA..DO35132	0	27	8	30	0	5	2
