Samples	ID83A	ID83B	ID83C
aa4a868a.df23.4eef.a618.e945aa2ce98a..Panc.AdenoCA..DO34448	910	772	105
ac02c38e.5fca.4995.b0cc.39b6189976a3..Panc.AdenoCA..DO51478	897	401	47
af9cfac8.7fbe.49cb.aeca.8d68aea57994..Panc.AdenoCA..DO51494	359	236	118
b04624d2.d8f8.4b51.be1b.72c73d8055f9..Panc.AdenoCA..DO35085	107	33	47
b37d6283.6f95.4975.a794.f3d5c4bbc7b3..Panc.AdenoCA..DO32960	258	27	23
b47aa163.eec9.4225.940b.4373e78152e2..Panc.AdenoCA..DO33200	385	97	55
b54b9433.ec10.4cb5.a860.4555da64917b..Panc.AdenoCA..DO51473	289	98	69
b5cabba2.30a4.458e.897c.00ec3fefa6d2..Panc.AdenoCA..DO49445	470	171	27
b5dd0bc9.6c1c.4272.b920.744de37d0aee..Panc.AdenoCA..DO33480	150	5	175
b7008a98.5aa0.4cc9.9bee.af2a422266db..Panc.AdenoCA..DO33288	528	440	101
b710b214.5666.4054.97ef.3b9ac2bd90ac..Panc.AdenoCA..DO51485	299	159	47
b80ca528.2c5f.400c.8df3.9c47869a64c2..Panc.AdenoCA..DO49439	369	112	21
b8270565.9e02.4d46.9534.08206bfd027a..Panc.AdenoCA..DO221542	169	62	48
bb8176a7.ea7c.42d7.a85a.cec1ca386f2e..Panc.AdenoCA..DO34656	164	56	34
bbbc531a.dd41.40b7.ae59.e35508aea0c7..Panc.AdenoCA..DO32837	176	40	0
bbdd7393.024b.4073.b5bc.ef7a68c15b8a..Panc.AdenoCA..DO221545	0	21	2221
bbff7954.95ec.455c.b0bc.92f67a09ee77..Panc.AdenoCA..DO35305	490	117	34
bc395326.1656.4ef2.bb19.0cb29194b91c..Panc.AdenoCA..DO35083	1138	46999	0
bcef0b6c.6584.4090.9d28.ef784a7e5fbb..Panc.AdenoCA..DO51523	169	65	21
c0523251.3ac2.4292.bb00.9ae9ea9009f6..Panc.AdenoCA..DO51528	465	62	41
c13fb736.614c.4d5f.83bf.2d7586f4fb53..Panc.AdenoCA..DO51466	254	112	53
c15a51cc.4fdc.4343.a410.13ddc238dac8..Panc.AdenoCA..DO35114	76	37	8
c3679262.63d7.463e.9501.6ab3f177aee8..Panc.AdenoCA..DO51496	496	164	21
c741fb12.8160.43a7.bc70.2c545ea0031d..Panc.AdenoCA..DO49436	409	196	18
c9e7c629.7b57.4ede.b315.0cea8c97c48e..Panc.AdenoCA..DO35424	257	116	107
ca284012.bd06.47a3.8a9d.c6b185d87d85..Panc.AdenoCA..DO51511	417	118	542
cafe9603.a804.48fb.9217.e2d1c3c346c5..Panc.AdenoCA..DO32916	854	442	24
cb4608a7.6aec.4cba.b20f.489e214c9dbd..Panc.AdenoCA..DO51509	107	28	134
cba4de91.cce7.4edc.8450.d0a52c959586..Panc.AdenoCA..DO35330	227	17	54
cc7af465.22ed.485d.a78c.282b840bf7c9..Panc.AdenoCA..DO35454	343	111	63
cf072bfe.3191.4a71.9e0b.decaa28365e1..Panc.AdenoCA..DO34600	238	74	43
cfe0bf13.2ff4.4164.9b6a.cd3615bf3ddc..Panc.AdenoCA..DO33016	302	73	31
d05ea63c.86a3.463a.a790.2edaa74b4da7..Panc.AdenoCA..DO51538	392	107	64
