Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q
V59	4.55E+00	1.86E+00	2.21E+00	7.16E-01	3.40E-01	6.70E-01	1.13E+00	2.44E+00	1.47E+00	2.69E-01	2.21E-01	0.00E+00	0.00E+00	9.00E-01	5.56E+00	9.12E-01	1.05E+00
V60	5.26E-01	3.01E+00	1.83E+00	3.02E+00	6.18E-01	0.00E+00	5.59E-01	0.00E+00	3.85E+00	3.75E+00	6.86E-01	2.37E+00	2.81E+00	2.49E+00	0.00E+00	4.99E-01	6.11E-01
V61	2.43E+00	7.69E+00	3.40E-01	2.48E+00	0.00E+00	2.13E-01	1.03E+01	5.54E+00	1.11E+00	7.42E-01	1.08E+01	9.48E-01	2.06E+00	5.14E+00	2.68E+00	8.05E+00	7.00E-01
V62	5.37E-01	1.17E+00	6.11E+00	3.61E+00	2.47E+00	3.80E+00	3.03E+00	2.93E+00	3.24E+00	2.53E+00	8.57E-01	6.92E+00	2.49E+00	2.79E+00	1.09E+00	1.97E+00	1.30E+01
V63	1.90E+01	1.18E+00	7.33E-01	2.37E+00	1.51E+00	1.77E+00	0.00E+00	6.96E-01	2.35E+00	2.24E+00	1.74E+00	4.31E+00	1.26E+00	2.66E+00	1.98E+01	8.46E-01	1.14E+00
V64	0.00E+00	1.82E+01	9.80E-01	1.00E+00	1.43E+00	1.16E+00	4.47E-01	5.04E-01	1.00E-01	6.67E-01	7.34E-01	0.00E+00	4.00E-01	4.42E-01	0.00E+00	1.84E+01	1.79E+00
V65	3.10E+00	1.18E+00	3.06E-01	4.16E+00	8.84E+00	3.62E+00	8.26E+00	7.37E-01	5.97E-01	6.95E+00	7.43E+00	2.50E+00	4.21E+00	5.22E+00	3.47E+00	7.75E-01	7.39E+00
V66	3.06E-01	5.54E-01	1.21E+00	1.12E+00	2.11E+00	2.54E+00	9.32E-01	1.56E+00	9.55E-01	1.00E-01	0.00E+00	7.12E-01	4.71E-01	1.00E-01	7.00E-01	3.67E-01	9.33E-01
V67	3.51E+00	2.71E+00	5.13E+00	5.04E+00	5.25E+00	4.62E+00	2.96E+00	3.79E+00	9.22E+00	6.08E+00	5.41E+00	7.59E+00	3.87E+00	3.07E+00	5.42E+00	4.74E+00	1.13E+01
V68	6.29E-01	1.02E+00	1.37E+00	6.50E-01	5.54E-01	5.54E-01	2.93E+00	2.10E+00	2.00E-01	8.60E-01	2.94E+00	1.66E+00	7.81E-01	9.92E-01	9.36E-01	1.35E+00	8.72E-01
V69	6.81E+00	1.68E+00	7.61E-01	1.47E+00	1.18E+00	1.00E-01	2.24E+00	7.15E+00	3.25E+00	1.64E+00	1.08E+01	2.14E+00	2.49E+00	7.19E+00	6.42E+00	2.27E+00	5.97E-01
V70	2.70E+00	1.55E+00	8.16E-01	3.47E+00	5.39E-01	0.00E+00	0.00E+00	0.00E+00	2.03E+00	1.79E+00	1.63E-01	3.96E+00	4.18E+00	1.71E+00	3.24E+00	1.51E+00	3.42E-01
V71	2.24E-01	3.70E+00	0.00E+00	1.57E+01	1.08E+00	3.14E-01	0.00E+00	4.90E-01	1.69E+01	1.18E+01	0.00E+00	6.41E+00	7.33E+00	5.00E-01	0.00E+00	3.11E+00	7.37E-01
