Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R
V22	4.82E-01	6.73E+01	7.00E-01	6.20E+01	6.87E-01	0.00E+00	0.00E+00	3.03E+00	3.22E+00	1.90E+00	2.98E-01	5.84E+01	7.57E-01	3.00E-01	0.00E+00	0.00E+00	3.75E+00	1.18E+00
V23	2.91E-01	2.52E+01	7.67E-01	2.53E+01	1.26E+01	2.43E+00	1.02E+00	7.00E-01	1.45E+00	9.78E-01	6.65E+00	2.12E+01	7.52E-01	1.92E+00	1.00E-01	0.00E+00	1.44E+01	9.17E-01
V24	4.47E-01	2.84E+00	0.00E+00	3.29E+00	0.00E+00	1.09E+00	1.10E+00	2.27E+00	2.93E+00	2.36E+00	0.00E+00	2.17E+00	1.44E+00	1.01E+00	2.00E-01	0.00E+00	5.00E-01	4.00E-01
V25	9.46E-01	1.40E+00	7.18E-01	9.07E-01	2.65E+00	6.78E+00	1.00E+01	6.11E+00	5.11E+00	5.03E+00	1.37E+00	5.00E-01	4.22E+00	4.22E+00	1.09E+00	1.34E+00	2.22E+00	1.48E+00
V26	7.27E-01	3.83E+01	1.53E-01	3.77E+01	4.40E+00	0.00E+00	0.00E+00	4.18E+00	5.73E+00	2.78E+00	2.26E+00	3.80E+01	2.00E-01	0.00E+00	2.68E+00	1.33E-01	6.20E+00	2.00E-01
V27	2.20E+00	2.00E-01	3.24E+00	2.00E-01	0.00E+00	3.74E+00	3.87E+00	1.37E+01	1.28E+01	1.38E+01	0.00E+00	8.33E-01	3.61E+00	2.17E+00	4.89E+00	1.33E-01	2.13E-01	3.96E+00
V28	9.19E+00	1.18E+01	2.40E+00	8.44E+00	2.78E+00	1.90E+00	4.28E+00	0.00E+00	0.00E+00	3.10E+00	3.83E+00	1.03E+01	1.16E+00	2.47E+00	9.91E+00	2.41E+00	1.54E+00	4.59E+00
V29	9.68E+00	9.80E+00	2.65E+00	9.35E+00	7.57E-01	1.87E+00	2.36E+00	0.00E+00	0.00E+00	4.00E-01	8.49E-01	9.77E+00	2.03E+00	2.96E+00	9.12E+00	2.54E+00	7.92E-01	3.62E+00
V30	4.04E+00	3.06E-01	2.99E+00	2.68E+00	1.00E-01	6.18E+00	4.82E+00	1.41E+01	1.28E+01	1.87E+01	3.79E-01	3.06E+00	4.38E+00	3.32E+00	1.03E+01	7.19E-01	4.27E-01	4.37E+00
V31	7.18E-01	0.00E+00	3.27E-01	5.62E-01	0.00E+00	1.00E-01	2.06E+00	6.59E+00	4.50E+00	6.30E+00	0.00E+00	4.07E-01	4.99E-01	1.06E+00	1.16E+00	1.99E+00	1.00E-01	1.20E+00
V32	1.65E+00	7.31E-01	6.89E+00	1.60E+00	0.00E+00	1.03E+01	1.51E+01	9.62E+00	1.59E+01	1.58E+01	0.00E+00	4.23E+00	1.03E+01	1.17E+01	3.59E+00	9.19E-01	3.78E+00	1.11E+01
V33	2.40E+00	4.63E+00	7.57E-01	4.65E+00	1.29E+00	4.07E-01	1.43E+00	3.23E+00	3.79E+00	3.52E+00	0.00E+00	4.85E+00	6.74E-01	1.74E+00	2.00E-01	1.33E-01	6.96E-01	5.12E-01
V34	3.05E+01	0.00E+00	2.91E-01	5.63E-01	5.80E+00	2.90E+00	1.62E+00	4.82E-01	2.00E-01	2.03E+00	2.01E+00	8.33E-01	1.45E+00	1.02E+00	3.01E+01	4.91E+00	5.93E+00	5.12E-01
V35	4.23E-01	3.69E+00	3.27E+00	3.80E+00	2.37E+00	1.08E+00	3.00E-01	2.00E-01	6.15E-01	4.96E-01	1.81E+00	3.84E+00	9.00E-01	7.06E-01	0.00E+00	2.00E-01	4.05E+00	4.25E+00
V36	2.45E+00	3.89E+00	1.52E+00	3.05E+00	3.45E+00	3.86E+00	6.12E+00	4.48E+00	2.14E+00	2.27E+00	1.56E+00	3.74E+00	1.73E+00	3.66E+00	4.88E+00	1.81E+00	4.76E+00	1.00E-01
V37	2.77E-01	1.55E+00	0.00E+00	1.34E+00	1.25E+00	6.63E-01	5.86E-01	7.18E-01	1.06E+00	9.94E-01	1.07E+00	6.63E-01	5.00E-01	1.00E+00	0.00E+00	0.00E+00	1.05E+00	0.00E+00
V38	1.65E+00	3.19E+00	3.06E+00	2.16E+00	9.78E-01	0.00E+00	0.00E+00	5.54E-01	6.51E-01	2.41E+00	9.20E-01	2.47E+00	0.00E+00	2.00E-01	6.05E-01	8.84E-01	1.19E+00	3.33E+00
