MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
1:Ins:C:3	9.01E-05	1.01E-07	1.39E-04	6.96E-05	8.84E-05	1.29E-06	4.45E-05	5.35E-04	3.31E-08	2.49E-06	3.14E-04	2.54E-05	5.44E-04	2.13E-03	0.00E+00	4.22E-03	5.57E-04	2.52E-03	6.56E-04	1.32E-03
1:Ins:C:4	6.16E-02	1.58E-03	6.89E-04	1.23E-06	8.71E-03	4.74E-04	8.78E-02	1.49E-02	9.78E-03	9.06E-03	1.76E-02	1.44E-02	5.40E-03	2.05E-02	4.69E-46	2.35E-03	4.75E-03	7.68E-07	2.69E-05	5.84E-02
1:Ins:C:5	2.40E-07	3.53E-03	3.47E-03	0.00E+00	1.52E-02	0.00E+00	0.00E+00	1.15E-02	8.95E-04	5.18E-04	1.37E-03	6.23E-08	9.14E-03	1.57E-02	1.22E-03	5.96E-03	1.12E-02	1.91E-03	5.86E-02	6.69E-02
1:Ins:T:0	1.20E-03	4.63E-04	9.03E-05	4.12E-04	2.56E-03	2.85E-03	2.17E-03	1.56E-02	0.00E+00	4.12E-03	5.77E-04	4.46E-04	2.14E-02	2.28E-03	9.54E-03	2.74E-03	2.59E-03	1.16E-03	7.89E-06	1.35E-02
1:Ins:T:1	3.57E-03	0.00E+00	2.38E-08	2.00E-03	1.05E-04	1.25E-03	0.00E+00	2.83E-03	5.02E-09	8.37E-04	2.24E-03	4.50E-03	2.01E-02	8.71E-08	1.60E-03	3.24E-03	6.14E-04	8.09E-04	2.96E-02	5.33E-03
1:Ins:T:2	0.00E+00	5.75E-08	3.58E-04	5.57E-04	2.23E-07	2.85E-03	0.00E+00	7.81E-03	4.44E-04	1.48E-03	2.66E-04	0.00E+00	3.45E-03	3.21E-04	9.62E-04	9.71E-04	1.84E-03	3.01E-03	9.48E-03	1.43E-03
1:Ins:T:3	1.27E-08	7.11E-04	1.05E-04	1.63E-04	2.33E-03	6.86E-04	1.62E-07	8.16E-03	4.81E-07	0.00E+00	1.42E-03	2.00E-04	4.94E-04	4.74E-03	5.07E-03	1.56E-02	1.47E-03	4.34E-03	4.99E-03	8.42E-04
1:Ins:T:4	3.51E-03	3.16E-03	4.51E-04	3.20E-07	1.18E-02	3.68E-04	1.56E-02	2.92E-03	2.04E-06	2.81E-03	2.62E-03	2.28E-05	6.86E-03	9.17E-04	9.16E-04	6.80E-05	1.15E-03	7.59E-03	5.83E-02	5.15E-02
1:Ins:T:5	9.16E-08	1.29E-02	1.56E-07	5.49E-07	2.86E-02	1.01E-06	8.90E-08	9.80E-03	8.86E-08	6.37E-07	6.41E-03	6.30E-03	9.93E-04	1.26E-02	5.78E-03	2.09E-02	9.37E-02	8.42E-02	3.50E-02	9.51E-07
2:Del:R:0	3.52E-04	0.00E+00	0.00E+00	5.21E-03	1.74E-07	1.97E-02	6.82E-08	1.16E-03	0.00E+00	6.81E-07	7.00E-03	7.54E-03	6.22E-03	1.02E-07	3.49E-03	1.95E-03	5.96E-03	1.75E-03	4.03E-03	7.13E-03
2:Del:R:1	9.42E-04	0.00E+00	2.67E-04	5.97E-03	3.71E-08	7.07E-03	2.06E-04	1.09E-02	2.02E-04	1.23E-02	5.35E-03	3.42E-03	2.93E-04	5.70E-03	6.24E-03	8.15E-03	3.92E-04	1.14E-02	7.24E-03	3.82E-03
2:Del:R:2	5.42E-08	9.47E-04	2.60E-04	2.52E-06	1.23E-03	1.73E-05	5.58E-08	4.46E-08	0.00E+00	2.53E-09	2.10E-03	1.21E-06	2.61E-07	1.75E-04	5.17E-04	0.00E+00	1.62E-03	6.25E-04	3.09E-07	3.01E-08
2:Del:R:3	2.35E-08	1.47E-07	1.11E-04	2.33E-04	5.70E-04	4.24E-09	4.31E-08	1.07E-07	4.32E-08	2.34E-05	1.50E-07	6.51E-04	7.37E-04	8.94E-04	0.00E+00	2.59E-08	1.46E-03	1.33E-03	2.61E-04	2.94E-07
2:Del:R:4	1.14E-06	0.00E+00	1.77E-07	1.62E-04	8.96E-10	3.97E-08	3.94E-08	2.06E-03	6.28E-04	2.25E-07	2.67E-03	2.47E-04	1.29E-03	2.62E-03	4.24E-04	2.50E-07	0.00E+00	6.19E-07	1.71E-07	8.06E-07
2:Del:R:5	4.68E-04	1.07E-04	2.21E-08	9.73E-08	1.69E-04	6.54E-08	2.46E-04	2.86E-04	1.98E-04	1.18E-04	2.74E-07	4.21E-05	9.28E-08	1.27E-08	7.41E-08	6.14E-04	4.46E-04	4.33E-08	5.24E-07	3.59E-03
3:Del:R:0	1.57E-07	1.94E-03	2.91E-05	2.60E-03	6.77E-04	0.00E+00	5.60E-07	7.49E-04	6.06E-08	1.41E-02	1.71E-07	2.14E-03	1.04E-03	1.02E-03	1.89E-02	3.06E-03	6.71E-04	4.68E-03	1.98E-03	7.55E-08
3:Del:R:1	0.00E+00	2.90E-03	8.91E-04	7.08E-04	3.75E-03	1.16E-03	0.00E+00	2.87E-03	1.73E-04	2.05E-03	4.76E-06	1.16E-03	4.29E-03	2.50E-03	2.21E-03	4.86E-03	1.91E-02	1.06E-04	3.87E-04	9.82E-05
3:Del:R:2	1.48E-04	3.53E-04	9.81E-04	6.62E-04	0.00E+00	2.76E-03	1.63E-09	1.21E-03	1.51E-03	4.47E-04	1.41E-03	1.14E-03	8.38E-04	1.14E-03	1.52E-04	1.98E-03	1.88E-03	1.73E-03	1.61E-03	1.66E-03
3:Del:R:3	4.80E-08	1.40E-08	8.58E-08	1.15E-03	1.59E-07	1.33E-06	2.36E-07	1.95E-03	5.31E-08	5.44E-04	4.18E-04	1.18E-03	4.00E-04	9.42E-05	2.82E-07	6.43E-04	1.48E-03	4.31E-04	4.58E-04	1.06E-04
3:Del:R:4	5.02E-04	6.84E-08	4.81E-08	3.67E-07	3.22E-07	1.56E-06	3.27E-08	3.05E-07	1.25E-07	3.07E-04	3.42E-04	1.30E-07	2.51E-07	8.85E-08	7.35E-05	8.29E-08	2.80E-04	6.27E-07	5.60E-07	9.94E-08
