MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S
3:Del:M:1	7.65E-04	1.39E-04	0.00E+00	7.91E-04	2.55E-03	2.69E-03	1.26E-03	1.75E-09	5.75E-03	0.00E+00	6.82E-09	1.49E-03	8.98E-03	3.47E-04	6.87E-04	2.10E-03	1.71E-02	7.23E-03	1.03E-07
3:Del:M:2	2.30E-04	2.23E-04	3.85E-04	7.08E-05	0.00E+00	3.97E-03	8.74E-04	3.10E-03	2.19E-03	9.00E-04	4.42E-04	1.31E-04	2.09E-03	0.00E+00	2.79E-03	8.62E-03	9.42E-03	2.42E-03	1.15E-03
4:Del:M:1	0.00E+00	7.58E-05	1.37E-04	0.00E+00	8.37E-05	6.83E-04	7.74E-04	0.00E+00	2.03E-03	2.03E-03	4.23E-07	1.37E-03	9.73E-04	2.10E-04	1.10E-04	1.77E-03	3.27E-04	1.92E-03	3.03E-03
4:Del:M:2	1.62E-04	6.02E-04	1.45E-04	6.99E-08	2.36E-04	0.00E+00	6.67E-04	1.13E-03	8.31E-05	0.00E+00	1.98E-08	0.00E+00	5.54E-04	1.60E-03	1.08E-03	8.84E-04	1.55E-05	1.81E-03	1.82E-03
4:Del:M:3	2.62E-05	1.22E-04	2.57E-04	0.00E+00	0.00E+00	1.05E-03	2.85E-04	0.00E+00	1.10E-03	0.00E+00	4.52E-04	2.95E-08	1.34E-03	1.41E-03	1.53E-03	1.50E-03	1.46E-03	1.74E-04	6.64E-04
5:Del:M:1	4.52E-04	6.65E-09	1.69E-07	3.14E-08	2.99E-46	5.04E-02	2.76E-07	1.55E-07	1.86E-02	6.62E-02	4.55E-07	9.19E-03	1.22E-07	2.62E-08	4.09E-07	5.98E-03	9.23E-03	2.50E-02	3.49E-07
5:Del:M:2	6.43E-04	1.20E-07	9.65E-07	4.90E-08	1.70E-04	2.80E-02	7.86E-08	1.77E-03	2.09E-02	1.56E-02	0.00E+00	2.80E-46	5.43E-03	0.00E+00	6.95E-07	1.40E-46	1.13E-06	2.31E-02	4.21E-06
5:Del:M:3	5.48E-05	0.00E+00	1.40E-46	1.43E-07	4.84E-05	1.21E-02	3.02E-03	6.77E-07	1.46E-02	1.45E-02	0.00E+00	7.78E-03	7.80E-08	0.00E+00	0.00E+00	8.61E-04	9.94E-03	1.89E-02	5.69E-03
5:Del:M:4	9.00E-09	1.59E-04	9.11E-05	0.00E+00	1.10E-07	7.08E-03	2.46E-05	5.01E-05	6.46E-03	7.04E-03	2.89E-04	1.99E-03	1.35E-07	7.08E-05	1.09E-07	1.23E-02	2.36E-07	1.16E-02	1.30E-03
5:Del:M:5	1.24E-08	5.93E-04	1.11E-04	1.85E-08	2.99E-08	1.50E-02	0.00E+00	1.94E-04	6.25E-03	4.10E-03	2.04E-07	3.00E-06	2.52E-08	1.54E-07	7.12E-07	1.11E-03	1.19E-03	1.28E-02	1.58E-03
