Method,cutoff,mean,lowCI.5.,median.50.,highCI.95.,J,theta,K_new,overd
2.CompNMF,0.8603375838926175,0.951098901098901,0.9126373626373626,0.9615384615384616,1,50,100,2,0.15
2.CompNMF,0.8630214765100671,0.951098901098901,0.9126373626373626,0.9615384615384616,1,50,100,2,0.15
2.CompNMF,0.8657053691275167,0.951098901098901,0.9126373626373626,0.9615384615384616,1,50,100,2,0.15
2.CompNMF,0.8683892617449664,0.951098901098901,0.9126373626373626,0.9615384615384616,1,50,100,2,0.15
2.CompNMF,0.8710731543624162,0.9395604395604396,0.7664835164835164,0.923076923076923,1,50,100,2,0.15
2.CompNMF,0.8737570469798658,0.9395604395604396,0.7664835164835164,0.923076923076923,1,50,100,2,0.15
2.CompNMF,0.8764409395973154,0.931868131868132,0.7664835164835164,0.923076923076923,1,50,100,2,0.15
2.CompNMF,0.8791248322147651,0.931868131868132,0.7664835164835164,0.923076923076923,1,50,100,2,0.15
2.CompNMF,0.8818087248322147,0.931868131868132,0.7664835164835164,0.923076923076923,1,50,100,2,0.15
2.CompNMF,0.8844926174496643,0.931868131868132,0.7664835164835164,0.923076923076923,1,50,100,2,0.15
2.CompNMF,0.8871765100671141,0.931868131868132,0.7664835164835164,0.923076923076923,1,50,100,2,0.15
2.CompNMF,0.8898604026845638,0.931868131868132,0.7664835164835164,0.923076923076923,1,50,100,2,0.15
2.CompNMF,0.8925442953020134,0.931868131868132,0.7664835164835164,0.923076923076923,1,50,100,2,0.15
2.CompNMF,0.895228187919463,0.931868131868132,0.7664835164835164,0.923076923076923,1,50,100,2,0.15
2.CompNMF,0.8979120805369127,0.924175824175824,0.7664835164835164,0.923076923076923,1,50,100,2,0.15
2.CompNMF,0.9005959731543625,0.924175824175824,0.7664835164835164,0.923076923076923,1,50,100,2,0.15
2.CompNMF,0.903279865771812,0.924175824175824,0.7664835164835164,0.923076923076923,1,50,100,2,0.15
2.CompNMF,0.9059637583892616,0.924175824175824,0.7664835164835164,0.923076923076923,1,50,100,2,0.15
2.CompNMF,0.9086476510067114,0.924175824175824,0.7664835164835164,0.923076923076923,1,50,100,2,0.15
2.CompNMF,0.9113315436241612,0.924175824175824,0.7664835164835164,0.923076923076923,1,50,100,2,0.15
2.CompNMF,0.9140154362416107,0.924175824175824,0.7664835164835164,0.923076923076923,1,50,100,2,0.15
2.CompNMF,0.9166993288590604,0.924175824175824,0.7664835164835164,0.923076923076923,1,50,100,2,0.15
2.CompNMF,0.91938322147651,0.9081501831501833,0.7664835164835164,0.923076923076923,1,50,100,2,0.15
2.CompNMF,0.9220671140939596,0.9081501831501833,0.7664835164835164,0.923076923076923,1,50,100,2,0.15
2.CompNMF,0.9247510067114092,0.8844322344322344,0.7093406593406594,0.923076923076923,1,50,100,2,0.15
2.CompNMF,0.927434899328859,0.8772893772893773,0.6131868131868131,0.923076923076923,1,50,100,2,0.15
2.CompNMF,0.9301187919463088,0.868956043956044,0.6131868131868131,0.923076923076923,1,50,100,2,0.15
2.CompNMF,0.9328026845637584,0.8612637362637362,0.6131868131868131,0.8782051282051282,1,50,100,2,0.15
2.CompNMF,0.935486577181208,0.8452380952380952,0.6131868131868131,0.8333333333333334,1,50,100,2,0.15
