Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
cfe0bf13.2ff4.4164.9b6a.cd3615bf3ddc..Panc.AdenoCA..DO33016	20	119	85	8	31	136	0	7
d05ea63c.86a3.463a.a790.2edaa74b4da7..Panc.AdenoCA..DO51538	54	140	43	7	15	136	25	143
d1804679.e728.4597.ac69.49554c087b9e..Panc.AdenoCA..DO51533	15	80	108	20	13	58	43	35
d333b55b.8bac.4a99.9d23.3cc0c25057bf..Panc.AdenoCA..DO51487	0	97	168	24	31	46	73	45
d4907a1b.8b06.47c5.8bca.c781d9cddaf8..Panc.AdenoCA..DO49184	46	131	178	24	37	28	95	0
d5796835.d6cd.427e.a398.5fbef88b0648..Panc.AdenoCA..DO51548	44	434	177	16	56	8	60	12
d8de6de6.4cfe.4239.9ebd.3437aa65efb2..Panc.AdenoCA..DO221543	50	79	0	11	11	42	45	29
d91f487e.0895.44ef.aeb1.a62bd576f8b0..Panc.AdenoCA..DO49079	37	818	260	30	49	128	6	4
da1ed4b9.f428.48aa.834d.1d9673999044..Panc.AdenoCA..DO35128	37	180	105	13	15	27	91	27
db2a1df8.487d.4dad.a347.5c5ed539d5ad..Panc.AdenoCA..DO51531	61	440	111	14	91	12	65	22
dc856038.f5f7.4dfc.a0a4.3e3a6b8d160f..Panc.AdenoCA..DO34728	9	162	97	0	21	16	76	1
dd4fdb6a.8067.4b64.ab74.bbb0fec34ca9..Panc.AdenoCA..DO34801	163	228	0	0	23	103	52	3
ded2689b.8e37.480c.b37c.acc538e54ddf..Panc.AdenoCA..DO35136	0	14	465	12	6	0	53	62
e0aa815f.668a.4de9.bb32.3f215bb7f843..Panc.AdenoCA..DO34785	138	416	103	16	42	102	23	15
e1df938f.1f23.4291.98ef.13db6debb796..Panc.AdenoCA..DO51505	9	127	112	10	15	58	29	43
e4c8c7f0.5bac.4d59.91c4.c98207150548..Panc.AdenoCA..DO221547	0	161	120	872	6	20	210	45
e5193d7e.e8b7.4098.bf98.8b3a62781d13..Panc.AdenoCA..DO49451	133	305	2	21	32	160	48	9
e56b0990.ff67.47c1.b9ad.87ef1d4aa2ae..Panc.AdenoCA..DO33368	45	179	233	51	28	77	93	0
e6eda5db.4d4f.418e.b0d4.ed9b3e5259d3..Panc.AdenoCA..DO51525	0	40	121	81	5	10	15	39
e7048a93.a1ed.4cdc.a1ab.fa507408ca77..Panc.AdenoCA..DO51480	165	143	0	10	34	64	32	38
e7603fc8.9b73.4c17.86f9.46ca1bceeb1d..Panc.AdenoCA..DO51519	51	174	33	12	40	54	47	25
e97ea3d7.9fcd.4df1.9ea8.587cb3be75ec..Panc.AdenoCA..DO49183	143	110	60	0	48	82	50	0
ec646623.6d33.4fbd.888e.89f55d82eb11..Panc.AdenoCA..DO33184	151	153	218	31	11	53	47	5
ec77847e.48fd.4ba5.bc3e.3cd1b149b552..Panc.AdenoCA..DO51475	275	209	46	5	24	53	55	79
ecfe388a.99f5.44b9.9226.a6ae6d892538..Panc.AdenoCA..DO221539	51	159	113	7	20	83	19	50
edac1323.2497.45e6.9148.e9c955292ba2..Panc.AdenoCA..DO33248	98	197	0	0	18	65	89	0
ee5d5e7d.78cf.4a29.a9ee.56aa3da877dd..Panc.AdenoCA..DO32875	42	143	1	32	1	76	74	6
ee8ba991.8c96.476e.b096.49f3aaaffc2f..Panc.AdenoCA..DO32863	140	98	53	26	50	102	33	0
ef002c3d.358f.4fc0.98f3.2f8b89de4374..Panc.AdenoCA..DO51512	47	77	0	23	17	142	25	34
ef3a0ccd.85bc.4e5f.a8c6.5a2e2d9e6717..Panc.AdenoCA..DO49080	179	362	26	84	76	0	312	0
