Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
bbbc531a.dd41.40b7.ae59.e35508aea0c7..Panc.AdenoCA..DO32837	34	89	78	1	0	11	0	2	1
bbdd7393.024b.4073.b5bc.ef7a68c15b8a..Panc.AdenoCA..DO221545	47	140	0	1492	2	19	0	503	39
bbff7954.95ec.455c.b0bc.92f67a09ee77..Panc.AdenoCA..DO35305	89	186	303	10	0	10	8	32	3
bc395326.1656.4ef2.bb19.0cb29194b91c..Panc.AdenoCA..DO35083	41145	4472	0	0	0	1267	0	0	1253
bcef0b6c.6584.4090.9d28.ef784a7e5fbb..Panc.AdenoCA..DO51523	52	67	69	5	0	19	9	24	10
c0523251.3ac2.4292.bb00.9ae9ea9009f6..Panc.AdenoCA..DO51528	43	217	158	15	8	30	6	50	41
c13fb736.614c.4d5f.83bf.2d7586f4fb53..Panc.AdenoCA..DO51466	61	72	113	14	51	26	0	44	38
c15a51cc.4fdc.4343.a410.13ddc238dac8..Panc.AdenoCA..DO35114	14	1	58	0	24	10	0	9	5
c3679262.63d7.463e.9501.6ab3f177aee8..Panc.AdenoCA..DO51496	105	298	71	9	93	39	20	46	0
c741fb12.8160.43a7.bc70.2c545ea0031d..Panc.AdenoCA..DO49436	112	221	98	6	128	17	7	32	2
c9e7c629.7b57.4ede.b315.0cea8c97c48e..Panc.AdenoCA..DO35424	0	44	90	26	182	21	51	60	6
ca284012.bd06.47a3.8a9d.c6b185d87d85..Panc.AdenoCA..DO51511	17	299	0	352	206	11	37	155	0
cafe9603.a804.48fb.9217.e2d1c3c346c5..Panc.AdenoCA..DO32916	274	442	288	27	247	36	0	3	3
cb4608a7.6aec.4cba.b20f.489e214c9dbd..Panc.AdenoCA..DO51509	0	18	1	18	42	17	60	113	0
cba4de91.cce7.4edc.8450.d0a52c959586..Panc.AdenoCA..DO35330	13	122	22	25	1	13	54	18	30
cc7af465.22ed.485d.a78c.282b840bf7c9..Panc.AdenoCA..DO35454	46	183	0	15	93	12	41	63	64
cf072bfe.3191.4a71.9e0b.decaa28365e1..Panc.AdenoCA..DO34600	49	22	226	3	0	11	0	44	0
cfe0bf13.2ff4.4164.9b6a.cd3615bf3ddc..Panc.AdenoCA..DO33016	53	151	7	7	8	33	138	0	9
d05ea63c.86a3.463a.a790.2edaa74b4da7..Panc.AdenoCA..DO51538	45	108	109	8	51	14	90	10	128
d1804679.e728.4597.ac69.49554c087b9e..Panc.AdenoCA..DO51533	21	72	53	20	78	15	50	29	34
d333b55b.8bac.4a99.9d23.3cc0c25057bf..Panc.AdenoCA..DO51487	0	3	232	26	125	33	0	30	35
d4907a1b.8b06.47c5.8bca.c781d9cddaf8..Panc.AdenoCA..DO49184	94	56	241	25	31	39	0	53	0
d5796835.d6cd.427e.a398.5fbef88b0648..Panc.AdenoCA..DO51548	74	412	104	15	86	57	3	42	14
d8de6de6.4cfe.4239.9ebd.3437aa65efb2..Panc.AdenoCA..DO221543	48	59	63	10	0	10	24	29	24
d91f487e.0895.44ef.aeb1.a62bd576f8b0..Panc.AdenoCA..DO49079	129	878	29	26	37	52	157	14	10
da1ed4b9.f428.48aa.834d.1d9673999044..Panc.AdenoCA..DO35128	12	184	0	13	148	15	36	63	24
db2a1df8.487d.4dad.a347.5c5ed539d5ad..Panc.AdenoCA..DO51531	74	460	0	12	73	91	36	48	22
dc856038.f5f7.4dfc.a0a4.3e3a6b8d160f..Panc.AdenoCA..DO34728	22	113	137	0	46	22	0	42	0
dd4fdb6a.8067.4b64.ab74.bbb0fec34ca9..Panc.AdenoCA..DO34801	154	156	187	0	0	21	31	23	0
ded2689b.8e37.480c.b37c.acc538e54ddf..Panc.AdenoCA..DO35136	0	0	78	13	407	13	0	35	66
e0aa815f.668a.4de9.bb32.3f215bb7f843..Panc.AdenoCA..DO34785	138	438	0	15	94	41	102	14	13
e1df938f.1f23.4291.98ef.13db6debb796..Panc.AdenoCA..DO51505	11	142	0	9	95	17	61	25	43
e4c8c7f0.5bac.4d59.91c4.c98207150548..Panc.AdenoCA..DO221547	0	103	174	839	90	5	0	185	38
e5193d7e.e8b7.4098.bf98.8b3a62781d13..Panc.AdenoCA..DO49451	94	315	0	19	88	30	121	37	6
e56b0990.ff67.47c1.b9ad.87ef1d4aa2ae..Panc.AdenoCA..DO33368	27	165	66	51	236	31	77	53	0
e6eda5db.4d4f.418e.b0d4.ed9b3e5259d3..Panc.AdenoCA..DO51525	0	15	67	79	99	7	0	8	36
e7048a93.a1ed.4cdc.a1ab.fa507408ca77..Panc.AdenoCA..DO51480	148	133	42	10	28	32	42	20	31
e7603fc8.9b73.4c17.86f9.46ca1bceeb1d..Panc.AdenoCA..DO51519	22	153	49	12	88	38	28	26	20
