K,a,alpha,epsilon,Kest,Sensitivity,Precision,rmse_novel_Sig,rmse_cosmic_Sig,rmse_Signatures,rmse_novel_Theta,rmse_cosmic_Theta,rmse_Weights
40,2,1,0.01,4,0.3333333333333333,0.5,0.012563508040660618,-1,0.012563508040660618,-1,0.010034490640466886,0.010034490640466886
15,2,1,0.1,4,0.6666666666666666,1,0.007218455725649125,-1,0.007218455725649125,-1,0.0074419015179960045,0.0074419015179960045
20,2,1,0.1,4,0.6666666666666666,1,0.007437311039564158,-1,0.007437311039564158,-1,0.007544739551365923,0.007544739551365923
25,2,1,0.1,5,0.6666666666666666,0.8,0.005814917981237356,-1,0.005814917981237356,-1,0.005394627508603961,0.005394627508603961
40,2,1,0.1,4,0.6666666666666666,1,0.007224382240404954,-1,0.007224382240404954,-1,0.007455996582752457,0.007455996582752457
15,2,1,0.25,4,0.3333333333333333,0.5,0.012517648228274291,-1,0.012517648228274291,-1,0.010025985139921279,0.010025985139921279
20,2,1,0.25,4,0.6666666666666666,1,0.007323711482908069,-1,0.007323711482908069,-1,0.007493225396811683,0.007493225396811683
25,2,1,0.25,4,0.6666666666666666,1,0.007210904350409628,-1,0.007210904350409628,-1,0.007458840970446618,0.007458840970446618
40,2,1,0.25,4,0.6666666666666666,1,0.007160888554557315,-1,0.007160888554557315,-1,0.007442620916299402,0.007442620916299402
15,2,2,0.01,4,0.6666666666666666,1,0.00837193405198331,-1,0.00837193405198331,-1,0.007920921377519633,0.007920921377519633
20,2,2,0.01,4,0.6666666666666666,1,0.00841199323256055,-1,0.00841199323256055,-1,0.00794390055077194,0.00794390055077194
